image_path,label,x1,y1,x2,y2
grids/stolen_71.67426763671875_41.00788515827335.png,1,748,170,798,220
grids/stolen_71.67426763671875_41.00788515827335.png,1,758,145,808,195
grids/stolen_71.67426763671875_41.00788515827335.png,1,666,366,716,416
grids/stolen_71.67426763671875_41.00788515827335.png,1,621,460,671,510
grids/stolen_71.67426763671875_41.00788515827335.png,1,573,569,623,619
grids/stolen_71.67426763671875_41.00788515827335.png,1,532,653,582,703
grids/stolen_71.67426763671875_41.00788515827335.png,1,544,628,594,678
grids/stolen_71.67426763671875_41.00788515827335.png,1,748,170,798,220
grids/stolen_71.67426763671875_41.00788515827335.png,1,758,145,808,195
grids/stolen_71.67426763671875_41.00788515827335.png,1,666,366,716,416
grids/stolen_71.67426763671875_41.00788515827335.png,1,621,460,671,510
grids/stolen_71.67426763671875_41.00788515827335.png,1,573,569,623,619
grids/stolen_71.67426763671875_41.00788515827335.png,1,532,653,582,703
grids/stolen_71.67426763671875_41.00788515827335.png,1,544,628,594,678
grids/stolen_71.67426763671875_41.00788515827335.png,1,748,170,798,220
grids/stolen_71.67426763671875_41.00788515827335.png,1,758,145,808,195
grids/stolen_71.67426763671875_41.00788515827335.png,1,666,366,716,416
grids/stolen_71.67426763671875_41.00788515827335.png,1,621,460,671,510
grids/stolen_71.67426763671875_41.00788515827335.png,1,573,569,623,619
grids/stolen_71.67426763671875_41.00788515827335.png,1,532,653,582,703
grids/stolen_71.67426763671875_41.00788515827335.png,1,544,628,594,678
grids/stolen_71.37978057617188_41.10468273741003.png,1,702,433,752,483
grids/stolen_71.37978057617188_41.10468273741003.png,1,702,433,752,483
grids/stolen_71.50172881835938_41.08890652697837.png,1,92,249,142,299
grids/stolen_71.50172881835938_41.08890652697837.png,1,101,254,151,304
grids/stolen_71.50172881835938_41.08890652697837.png,1,108,257,158,307
grids/stolen_71.50172881835938_41.08890652697837.png,1,116,260,166,310
grids/stolen_71.50172881835938_41.08890652697837.png,1,368,356,418,406
grids/stolen_71.50172881835938_41.08890652697837.png,1,372,359,422,409
grids/stolen_71.50172881835938_41.08890652697837.png,1,379,362,429,412
grids/stolen_71.50172881835938_41.08890652697837.png,1,385,363,435,413
grids/stolen_71.50172881835938_41.08890652697837.png,1,390,366,440,416
grids/stolen_71.50172881835938_41.08890652697837.png,1,400,367,450,417
grids/stolen_71.50172881835938_41.08890652697837.png,1,405,366,455,416
grids/stolen_71.50172881835938_41.08890652697837.png,1,411,364,461,414
grids/stolen_71.50172881835938_41.08890652697837.png,1,418,364,468,414
grids/stolen_71.50172881835938_41.08890652697837.png,1,424,365,474,415
grids/stolen_71.50172881835938_41.08890652697837.png,1,434,368,484,418
grids/stolen_71.50172881835938_41.08890652697837.png,1,429,367,479,417
grids/stolen_71.50172881835938_41.08890652697837.png,1,440,369,490,419
grids/stolen_71.50172881835938_41.08890652697837.png,1,452,370,502,420
grids/stolen_71.50172881835938_41.08890652697837.png,1,455,370,505,420
grids/stolen_71.50172881835938_41.08890652697837.png,1,469,373,519,423
grids/stolen_71.50172881835938_41.08890652697837.png,1,483,376,533,426
grids/stolen_71.50172881835938_41.08890652697837.png,1,476,376,526,426
grids/stolen_71.50172881835938_41.08890652697837.png,1,487,379,537,429
grids/stolen_71.50172881835938_41.08890652697837.png,1,95,251,145,301
grids/stolen_71.50172881835938_41.08890652697837.png,1,105,257,155,307
grids/stolen_71.50172881835938_41.08890652697837.png,1,111,259,161,309
grids/stolen_71.50172881835938_41.08890652697837.png,1,395,365,445,415
grids/stolen_71.50172881835938_41.08890652697837.png,1,393,315,443,365
grids/stolen_71.50172881835938_41.08890652697837.png,1,362,321,412,371
grids/stolen_71.50172881835938_41.08890652697837.png,1,350,323,400,373
grids/stolen_71.50172881835938_41.08890652697837.png,1,326,329,376,379
grids/stolen_71.50172881835938_41.08890652697837.png,1,403,432,453,482
grids/stolen_71.50172881835938_41.08890652697837.png,1,338,439,388,489
grids/stolen_71.50172881835938_41.08890652697837.png,1,489,433,539,483
grids/stolen_71.50172881835938_41.08890652697837.png,1,478,430,528,480
grids/stolen_71.50172881835938_41.08890652697837.png,1,463,432,513,482
grids/stolen_71.50172881835938_41.08890652697837.png,1,418,444,468,494
grids/stolen_71.50172881835938_41.08890652697837.png,1,384,453,434,503
grids/stolen_71.50172881835938_41.08890652697837.png,1,391,433,441,483
grids/stolen_71.50172881835938_41.08890652697837.png,1,92,249,142,299
grids/stolen_71.50172881835938_41.08890652697837.png,1,101,254,151,304
grids/stolen_71.50172881835938_41.08890652697837.png,1,108,257,158,307
grids/stolen_71.50172881835938_41.08890652697837.png,1,116,260,166,310
grids/stolen_71.50172881835938_41.08890652697837.png,1,368,356,418,406
grids/stolen_71.50172881835938_41.08890652697837.png,1,372,359,422,409
grids/stolen_71.50172881835938_41.08890652697837.png,1,379,362,429,412
grids/stolen_71.50172881835938_41.08890652697837.png,1,385,363,435,413
grids/stolen_71.50172881835938_41.08890652697837.png,1,390,366,440,416
grids/stolen_71.50172881835938_41.08890652697837.png,1,400,367,450,417
grids/stolen_71.50172881835938_41.08890652697837.png,1,405,366,455,416
grids/stolen_71.50172881835938_41.08890652697837.png,1,411,364,461,414
grids/stolen_71.50172881835938_41.08890652697837.png,1,418,364,468,414
grids/stolen_71.50172881835938_41.08890652697837.png,1,424,365,474,415
grids/stolen_71.50172881835938_41.08890652697837.png,1,434,368,484,418
grids/stolen_71.50172881835938_41.08890652697837.png,1,429,367,479,417
grids/stolen_71.50172881835938_41.08890652697837.png,1,440,369,490,419
grids/stolen_71.50172881835938_41.08890652697837.png,1,452,370,502,420
grids/stolen_71.50172881835938_41.08890652697837.png,1,455,370,505,420
grids/stolen_71.50172881835938_41.08890652697837.png,1,469,373,519,423
grids/stolen_71.50172881835938_41.08890652697837.png,1,483,376,533,426
grids/stolen_71.50172881835938_41.08890652697837.png,1,476,376,526,426
grids/stolen_71.50172881835938_41.08890652697837.png,1,487,379,537,429
grids/stolen_71.50172881835938_41.08890652697837.png,1,95,251,145,301
grids/stolen_71.50172881835938_41.08890652697837.png,1,105,257,155,307
grids/stolen_71.50172881835938_41.08890652697837.png,1,111,259,161,309
grids/stolen_71.50172881835938_41.08890652697837.png,1,395,365,445,415
grids/stolen_71.50172881835938_41.08890652697837.png,1,393,315,443,365
grids/stolen_71.50172881835938_41.08890652697837.png,1,362,321,412,371
grids/stolen_71.50172881835938_41.08890652697837.png,1,350,323,400,373
grids/stolen_71.50172881835938_41.08890652697837.png,1,326,329,376,379
grids/stolen_71.50172881835938_41.08890652697837.png,1,403,432,453,482
grids/stolen_71.50172881835938_41.08890652697837.png,1,338,439,388,489
grids/stolen_71.50172881835938_41.08890652697837.png,1,489,433,539,483
grids/stolen_71.50172881835938_41.08890652697837.png,1,478,430,528,480
grids/stolen_71.50172881835938_41.08890652697837.png,1,463,432,513,482
grids/stolen_71.50172881835938_41.08890652697837.png,1,418,444,468,494
grids/stolen_71.50172881835938_41.08890652697837.png,1,384,453,434,503
